1423774192 ------------------------------------------------------------
1423774192 Server listening on TCP port 5001
1423774192 TCP window size: 85.3 KByte (default)
1423774192 ------------------------------------------------------------
1423774193 ------------------------------------------------------------
1423774193 Client connecting to 192.168.1.14, TCP port 5001
1423774193 TCP window size: 91.9 KByte (default)
1423774193 ------------------------------------------------------------
1423774319 [  4] 125.0-126.0 sec  6.95 MBytes  58.3 Mbits/sec
1423774319 [  5] 125.0-126.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774320 [  4] 126.0-127.0 sec  7.14 MBytes  59.9 Mbits/sec
1423774320 [  5] 126.0-127.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774321 [  5] 127.0-128.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774321 [  4] 127.0-128.0 sec  7.07 MBytes  59.3 Mbits/sec
1423774322 [  5] 128.0-129.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774322 [  4] 128.0-129.0 sec  7.75 MBytes  65.0 Mbits/sec
1423774323 [  4] 129.0-130.0 sec  8.75 MBytes  73.4 Mbits/sec
1423774323 [  5] 129.0-130.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774324 [  5] 130.0-131.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774324 [  4] 130.0-131.0 sec  9.49 MBytes  79.6 Mbits/sec
1423774325 [  4] 131.0-132.0 sec  7.89 MBytes  66.2 Mbits/sec
1423774325 [  5] 131.0-132.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774326 [  4] 132.0-133.0 sec  8.62 MBytes  72.3 Mbits/sec
1423774326 [  5] 132.0-133.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774327 [  4] 133.0-134.0 sec  7.82 MBytes  65.6 Mbits/sec
1423774327 [  5] 133.0-134.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774328 [  5] 134.0-135.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774328 [  4] 134.0-135.0 sec  6.86 MBytes  57.5 Mbits/sec
1423774329 [  5] 135.0-136.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774329 [  4] 135.0-136.0 sec  7.26 MBytes  60.9 Mbits/sec
1423774330 [  4] 136.0-137.0 sec  7.77 MBytes  65.2 Mbits/sec
1423774330 [  5] 136.0-137.0 sec  7.75 MBytes  65.0 Mbits/sec
1423774331 [  4] 137.0-138.0 sec  7.67 MBytes  64.3 Mbits/sec
1423774331 [  5] 137.0-138.0 sec  7.50 MBytes  62.9 Mbits/sec
